"id_cliente";"nome";"email";"telefone";"endereco";"created_at"
"2";"Maria Eduarda Gomes";"eduarda@hotmail.com";"92 984575612";"Av Savio Belota 159 - Centro";"2024-11-26 18:53:03"
"3";"João Silva";"joao.silva1234@gmail.com";"(92) 99123-4567";"Rua das Acácias, 123, Bairro Centro, Manaus - AM";"2024-11-26 20:01:03"
"4";"Maria Oliveira";"maria.oliveira5678@gmail.com";"(92) 99234-5678";"Avenida Efigênio Salles, 456, Bairro Chapada, Manaus - AM";"2024-11-26 20:01:03"
"5";"Pedro Santos";"pedro.santos9012@gmail.com";"(92) 99345-6789";"Rua 10 de Julho, 789, Bairro São Francisco, Manaus - AM";"2024-11-26 20:01:03"
"6";"Ana Costa";"ana.costa3456@gmail.com";"(92) 99456-7890";"Rua Rio Negro, 321, Bairro Ponta Negra, Manaus - AM";"2024-11-26 20:01:03"
"7";"Lucas Pereira";"lucas.pereira7890@gmail.com";"(92) 99567-8901";"Avenida Constantino Nery, 654, Bairro Parque Dez, Manaus - AM";"2024-11-26 20:01:03"
"8";"Beatriz Rocha";"beatriz.rocha1122@gmail.com";"(92) 99678-9012";"Rua dos Tucunarés, 987, Bairro Adrianópolis, Manaus - AM";"2024-11-26 20:01:03"
"9";"Gabriel Almeida";"gabriel.almeida3344@gmail.com";"(92) 99789-0123";"Rua da Paz, 234, Bairro Aleixo, Manaus - AM";"2024-11-26 20:01:03"
"10";"Sofia Martins";"sofia.martins5566@gmail.com";"(92) 99890-1234";"Rua do Comércio, 567, Bairro Educandos, Manaus - AM";"2024-11-26 20:01:03"
"11";"Thiago Ferreira";"thiago.ferreira7788@gmail.com";"(92) 99901-2345";"Avenida Djalma Batista, 890, Bairro Flores, Manaus - AM";"2024-11-26 20:01:03"
"12";"Camila Souza";"camila.souza9900@gmail.com";"(92) 99112-3456";"Rua São José, 345, Bairro Redenção, Manaus - AM";"2024-11-26 20:01:03"
"13";"Rafael Gomes";"rafael.gomes2233@gmail.com";"(92) 99223-4567";"Rua Amazonas, 678, Bairro Alvorada, Manaus - AM";"2024-11-26 20:01:03"
"14";"Mariana Lima";"mariana.lima4455@gmail.com";"(92) 99334-5678";"Avenida Mário Ypiranga Monteiro, 123, Bairro Tancredo Neves, Manaus - AM";"2024-11-26 20:01:03"
"15";"André Barbosa";"andre.barbosa6677@gmail.com";"(92) 99445-6789";"Rua Porto Alegre, 234, Bairro Morro da Liberdade, Manaus - AM";"2024-11-26 20:01:03"
"16";"Larissa Cruz";"larissa.cruz8899@gmail.com";"(92) 99556-7890";"Rua Getúlio Vargas, 567, Bairro São Raimundo, Manaus - AM";"2024-11-26 20:01:03"
"17";"Felipe Ribeiro";"felipe.ribeiro1010@gmail.com";"(92) 99667-8901";"Rua das Orquídeas, 890, Bairro Novo Aleixo, Manaus - AM";"2024-11-26 20:01:03"
"18";"Juliana Vieira";"juliana.vieira2323@gmail.com";"(92) 99778-9012";"Avenida do Turismo, 112, Bairro Tarumã, Manaus - AM";"2024-11-26 20:01:03"
"19";"Vinícius Duarte";"vinicius.duarte3434@gmail.com";"(92) 99889-0123";"Rua do Sol, 334, Bairro Cidade Nova, Manaus - AM";"2024-11-26 20:01:03"
"20";"Carolina Pinto";"carolina.pinto4545@gmail.com";"(92) 99990-1234";"Rua Brasil, 567, Bairro Dom Pedro, Manaus - AM";"2024-11-26 20:01:03"
"21";"Hugo Almeida";"hugo.almeida5656@gmail.com";"(92) 99101-2345";"Rua Beira Rio, 890, Bairro São Jorge, Manaus - AM";"2024-11-26 20:01:03"
"22";"Vanessa Alves";"vanessa.alves6767@gmail.com";"(92) 99212-3456";"Rua Bela Vista, 123, Bairro Parque das Laranjeiras, Manaus - AM";"2024-11-26 20:01:03"
"23";"Rodrigo Carvalho";"rodrigo.carvalho7878@gmail.com";"(92) 99323-4567";"Rua da Alegria, 456, Bairro Santa Etelvina, Manaus - AM";"2024-11-26 20:01:03"
"24";"Isabela Silva";"isabela.silva8989@gmail.com";"(92) 99434-5678";"Avenida Princesa Isabel, 789, Bairro Cachoeirinha, Manaus - AM";"2024-11-26 20:01:03"
"25";"Matheus Gomes";"matheus.gomes9090@gmail.com";"(92) 99545-6789";"Rua do Mar, 234, Bairro Novo Horizonte, Manaus - AM";"2024-11-26 20:01:03"
"26";"Gabriela Pereira";"gabriela.pereira1212@gmail.com";"(92) 99656-7890";"Rua João Valério, 567, Bairro Aparecida, Manaus - AM";"2024-11-26 20:01:03"
"27";"Carlos Barbosa";"carlos.barbosa2323@gmail.com";"(92) 99767-8901";"Avenida Tancredo Neves, 890, Bairro São Vicente, Manaus - AM";"2024-11-26 20:01:03"
"28";"Renata Costa";"renata.costa3434@gmail.com";"(92) 99878-9012";"Rua do Poço, 112, Bairro Coroado, Manaus - AM";"2024-11-26 20:01:03"
"29";"Leonardo Rocha";"leonardo.rocha4545@gmail.com";"(92) 99989-0123";"Rua dos Navegantes, 334, Bairro Compensa, Manaus - AM";"2024-11-26 20:01:03"
"30";"Laura Santos";"laura.santos5656@gmail.com";"(92) 99123-4567";"Rua Niterói, 567, Bairro São Felipe, Manaus - AM";"2024-11-26 20:01:03"
"31";"Diego Souza";"diego.souza6767@gmail.com";"(92) 99234-5678";"Rua Ilha de Marajó, 890, Bairro Tarumã-Açu, Manaus - AM";"2024-11-26 20:01:03"
"32";"Fernanda Martins";"fernanda.martins7878@gmail.com";"(92) 99345-6789";"Rua Maceió, 123, Bairro Bela Vista, Manaus - AM";"2024-11-26 20:01:03"
"33";"Ricardo Lima";"ricardo.lima8989@gmail.com";"(92) 99456-7890";"Rua do Sul, 456, Bairro Nossa Senhora das Graças, Manaus - AM";"2024-11-26 20:01:03"
"34";"Clara Ribeiro";"clara.ribeiro1010@gmail.com";"(92) 99567-8901";"Avenida dos Bandeirantes, 789, Bairro Santa Luzia, Manaus - AM";"2024-11-26 20:01:03"
"35";"Eduardo Ferreira";"eduardo.ferreira2323@gmail.com";"(92) 99678-9012";"Rua Vitória, 234, Bairro Conjunto Eldorado, Manaus - AM";"2024-11-26 00:00:00"
"36";"Tatiane Oliveira";"tatiane.oliveira3434@gmail.com";"(92) 99789-0123";"Rua Floresta, 567, Bairro Morro da Liberdade, Manaus - AM";"2024-11-26 20:01:03"
"37";"Bruno Almeida";"bruno.almeida4545@gmail.com";"(92) 99890-1234";"Rua da Liberdade, 890, Bairro Cidade de Deus, Manaus - AM";"2024-11-26 20:01:03"
"38";"Cíntia Rocha";"cintia.rocha5656@gmail.com";"(92) 99901-2345";"Avenida Floriano Peixoto, 123, Bairro Conjunto Nova Cidade, Manaus - AM";"2024-11-26 20:01:03"
"39";"Gustavo Santos";"gustavo.santos6767@gmail.com";"(92) 99112-3456";"Rua São Francisco, 456, Bairro Colônia Antônio Aleixo, Manaus - AM";"2024-11-26 20:01:03"
"40";"Mariana Costa";"mariana.costa7878@gmail.com";"(92) 99223-4567";"Rua Recanto do Sol, 789, Bairro Parque Residencial 1, Manaus - AM";"2024-11-26 20:01:03"
"41";"Fábio Pinto";"fabio.pinto8989@gmail.com";"(92) 99334-5678";"Rua Cacau, 234, Bairro Chapada, Manaus - AM";"2024-11-26 20:01:03"
"42";"Luciana Gomes";"luciana.gomes9090@gmail.com";"(92) 99445-6789";"Avenida Amazonas, 567, Bairro Centro, Manaus - AM";"2024-11-26 20:01:03"
"43";"Marcelo Barbosa";"marcelo.barbosa0101@gmail.com";"(92) 99556-7890";"Rua do Jacaré, 890, Bairro Presidente Vargas, Manaus - AM";"2024-11-26 20:01:03"
"44";"Priscila Oliveira";"priscila.oliveira1212@gmail.com";"(92) 99667-8901";"Rua do Rio, 123, Bairro Ponte Rio Negro, Manaus - AM";"2024-11-26 20:01:03"
"45";"Alexandre Lima";"alexandre.lima2323@gmail.com";"(92) 99778-9012";"Avenida dos Trabalhadores, 456, Bairro Cachoeirinha, Manaus - AM";"2024-11-26 20:01:03"
"46";"Larissa Pereira";"larissa.pereira3434@gmail.com";"(92) 99889-0123";"Rua das Mangueiras, 789, Bairro Petrópolis, Manaus - AM";"2024-11-26 20:01:03"
"47";"Caio Silva";"caio.silva4545@gmail.com";"(92) 99990-1234";"Rua Cipriano Santos, 234, Bairro São José, Manaus - AM";"2024-11-26 20:01:03"
